product_id,total_sold_quantity,total_stock_quantity,avg_buying_price,avg_selling_price,month,quarter,prev_sold_quantity_1,prev_sold_quantity_2,prev_sold_quantity_3,stock_out,Año,Mes
321,19,60,1.84,2.0,1,1,0,0,0,0,2023,1
321,8,60,1.84,2.0,3,1,0,0,19,0,2023,3
321,29,60,1.84,2.0,5,2,0,0,8,0,2023,5
321,4,30,1.84,2.0,6,2,0,29,0,0,2023,6
321,21,60,1.84,2.0,8,3,0,0,4,0,2023,8
321,19,30,1.84,2.0,12,4,0,0,0,0,2023,12
321,3,30,1.84,2.0,7,3,0,0,0,0,2024,7
321,250,197,1.84,2.0,10,4,0,0,0,0,2024,10
575,22,36,6.44,7.0,1,1,0,0,0,0,2023,1
575,17,18,6.44,7.0,6,2,0,0,0,0,2023,6
575,6,18,6.44,7.0,7,3,0,17,0,0,2023,7
575,1,18,6.44,7.0,8,3,0,6,17,0,2023,8
575,36,36,6.44,7.0,9,3,0,1,6,0,2023,9
575,4,18,6.44,7.0,4,2,0,0,0,0,2024,4
575,3,18,6.44,7.0,7,3,0,0,0,0,2024,7
575,25,122,6.44,7.0,8,3,0,3,0,0,2024,8
358,14,12,1.38,1.5,1,1,0,0,0,0,2023,1
358,1,12,1.38,1.5,2,1,0,14,0,0,2023,2
358,18,24,1.38,1.5,3,1,0,1,14,0,2023,3
358,1,12,1.38,1.5,4,2,0,18,1,0,2023,4
358,11,12,1.38,1.5,5,2,0,1,18,0,2023,5
358,15,12,1.38,1.5,10,4,0,0,0,0,2023,10
358,10,78,1.38,1.5,2,1,0,0,0,0,2024,2
209,6,61,0.92,1.0,1,1,0,0,0,0,2023,1
209,3,61,0.92,1.0,9,3,0,0,0,0,2023,9
209,200,122,0.92,1.0,7,3,0,0,0,0,2024,7
209,500,407,0.92,1.0,8,3,0,200,0,0,2024,8
45,16,33,1.84,2.0,1,1,0,0,0,0,2023,1
45,27,66,1.84,2.0,3,1,0,0,16,0,2023,3
45,16,33,1.84,2.0,4,2,0,27,0,0,2023,4
45,17,33,1.84,2.0,5,2,0,16,27,0,2023,5
45,14,66,1.84,2.0,6,2,0,17,16,0,2023,6
45,12,33,1.84,2.0,7,3,0,14,17,0,2023,7
45,21,66,1.84,2.0,9,3,0,0,12,0,2023,9
45,14,33,1.84,2.0,11,4,0,0,21,0,2023,11
45,14,33,1.84,2.0,12,4,0,14,0,0,2023,12
45,4,33,1.84,2.0,7,3,0,0,0,0,2024,7
45,60,220,1.84,2.0,12,4,0,0,0,0,2024,12
193,43,204,3.22,3.5,1,1,0,0,0,0,2023,1
193,16,51,3.22,3.5,4,2,0,0,0,0,2023,4
193,40,153,3.22,3.5,5,2,0,16,0,0,2023,5
193,14,102,3.22,3.5,6,2,0,40,16,0,2023,6
193,7,51,3.22,3.5,8,3,0,0,14,0,2023,8
193,3,51,3.22,3.5,9,3,0,7,0,0,2023,9
193,20,153,3.22,3.5,12,4,0,0,0,0,2023,12
193,38,102,3.22,3.5,1,1,0,20,0,0,2024,1
193,25,153,3.22,3.5,3,1,0,0,38,0,2024,3
193,1,51,3.22,3.5,4,2,0,25,0,0,2024,4
193,10,51,3.22,3.5,5,2,0,1,25,0,2024,5
193,1,51,3.22,3.5,6,2,0,10,1,0,2024,6
193,26,102,3.22,3.5,10,4,0,0,0,0,2024,10
193,10,51,3.22,3.5,11,4,0,26,0,0,2024,11
193,10,334,3.22,3.5,12,4,0,10,26,0,2024,12
430,6,118,8.28,9.0,1,1,0,0,0,0,2023,1
430,3,59,8.28,9.0,2,1,0,6,0,0,2023,2
430,24,118,8.28,9.0,3,1,0,3,6,0,2023,3
430,13,59,8.28,9.0,5,2,0,0,24,0,2023,5
430,13,59,8.28,9.0,6,2,0,13,0,0,2023,6
430,13,59,8.28,9.0,7,3,0,13,13,0,2023,7
430,16,118,8.28,9.0,9,3,0,0,13,0,2023,9
430,6,59,8.28,9.0,10,4,0,16,0,0,2023,10
430,2,59,8.28,9.0,11,4,0,6,16,0,2023,11
430,1000,389,8.28,9.0,9,3,0,0,0,0,2024,9
187,38,114,3.68,5.0,1,1,0,0,0,0,2023,1
187,15,76,3.68,5.0,3,1,0,0,38,0,2023,3
187,28,76,3.68,5.0,4,2,0,15,0,0,2023,4
187,11,38,3.68,5.0,6,2,0,0,28,0,2023,6
187,21,76,3.68,5.0,7,3,0,11,0,0,2023,7
187,9,38,3.68,5.0,10,4,0,0,0,0,2023,10
187,30,114,3.68,5.0,11,4,0,9,0,0,2023,11
187,9,38,3.68,5.0,12,4,0,30,9,0,2023,12
187,1,38,3.68,5.0,3,1,0,0,0,0,2024,3
187,1,38,3.68,5.0,4,2,0,1,0,0,2024,4
187,2,38,3.68,5.0,7,3,0,0,0,0,2024,7
187,136,1806,3.68,5.0,8,3,0,2,0,0,2024,8
579,16,15,7.36,8.0,1,1,0,0,0,0,2023,1
579,11,15,7.36,8.0,3,1,0,0,16,0,2023,3
579,18,15,7.36,8.0,4,2,0,11,0,0,2023,4
579,16,15,7.36,8.0,9,3,0,0,0,0,2023,9
579,14,15,7.36,8.0,12,4,0,0,0,0,2023,12
579,5,99,7.36,8.0,9,3,0,0,0,0,2024,9
224,12,14,32.2,35.0,1,1,0,0,0,0,2023,1
224,17,7,32.2,35.0,7,3,0,0,0,0,2023,7
224,40,44,32.2,35.0,3,1,0,0,0,0,2024,3
496,14,8,18.4,20.0,1,1,0,0,0,0,2023,1
496,1,8,18.4,20.0,6,2,0,0,0,0,2023,6
496,12,16,18.4,20.0,7,3,0,1,0,0,2023,7
496,2,8,18.4,20.0,9,3,0,0,12,0,2023,9
496,7,8,18.4,20.0,7,3,0,0,0,0,2024,7
496,20,48,18.4,20.0,12,4,0,0,0,0,2024,12
2,2,17,18.4,20.0,1,1,0,0,0,0,2023,1
2,20,34,18.4,20.0,2,1,0,2,0,0,2023,2
2,17,34,18.4,20.0,4,2,0,0,20,0,2023,4
2,17,17,18.4,20.0,6,2,0,0,17,0,2023,6
2,12,34,18.4,20.0,8,3,0,0,17,0,2023,8
2,7,34,18.4,20.0,10,4,0,0,12,0,2023,10
2,2,17,18.4,20.0,11,4,0,7,0,0,2023,11
2,6,17,18.4,20.0,12,4,0,2,7,0,2023,12
2,30,115,18.4,20.0,10,4,0,0,0,0,2024,10
184,10,44,73.6,80.0,1,1,0,0,0,0,2023,1
184,20,66,73.6,80.0,2,1,0,10,0,0,2023,2
184,13,22,73.6,80.0,3,1,0,20,10,0,2023,3
184,23,44,73.6,80.0,4,2,0,13,20,0,2023,4
184,4,22,73.6,80.0,5,2,0,23,13,0,2023,5
184,27,44,73.6,80.0,6,2,0,4,23,0,2023,6
184,14,22,73.6,80.0,12,4,0,0,0,0,2023,12
184,5,146,73.6,80.0,10,4,0,0,0,0,2024,10
300,31,30,11.04,12.0,1,1,0,0,0,0,2023,1
300,9,20,11.04,12.0,2,1,0,31,0,0,2023,2
300,6,10,11.04,12.0,4,2,0,0,9,0,2023,4
300,6,10,11.04,12.0,11,4,0,0,0,0,2023,11
300,5,65,11.04,12.0,4,2,0,0,0,0,2024,4
428,18,90,6.44,7.0,1,1,0,0,0,0,2023,1
428,9,45,6.44,7.0,2,1,0,18,0,0,2023,2
428,26,90,6.44,7.0,3,1,0,9,18,0,2023,3
428,4,45,6.44,7.0,5,2,0,0,26,0,2023,5
428,32,90,6.44,7.0,6,2,0,4,0,0,2023,6
428,14,45,6.44,7.0,8,3,0,0,32,0,2023,8
428,15,45,6.44,7.0,9,3,0,14,0,0,2023,9
