product_id,selling_date,stock_quantity,current_quantity,buying_price,selling_price,sold_quantity,days_since_last_purchase,margin
421,"2024-01-01 00:00:00",5,1,3.22,3.5,5,395,0.28
190,"2024-01-02 00:00:00",5,3,59.8,65,1,395,5.2
72,"2024-01-02 00:00:00",5,0,41.4,45,2,395,3.6
389,"2024-01-02 00:00:00",5,4,0.736,0.8,13,395,0.064
193,"2024-01-02 00:00:00",5,0,3.22,3.5,23,395,0.28
346,"2024-01-02 00:00:00",5,1,73.6,80,2,395,6.4
26,"2024-01-03 00:00:00",5,3,18.4,20,1,395,1.6
137,"2024-01-03 00:00:00",0,0,87.4,95,1,395,7.6
401,"2024-01-03 00:00:00",0,2,3.68,4,2,395,0.32
95,"2024-01-03 00:00:00",15,5,23,25,5,395,2
196,"2024-01-03 00:00:00",10,0,16.56,18,3,395,1.44
129,"2024-01-04 00:00:00",5,3,0.92,1,2,395,0.08
351,"2024-01-04 00:00:00",95,25,25.76,28,3,395,2.24
582,"2024-01-05 00:00:00",10,0,4.6,5,9,395,0.4
587,"2024-01-07 00:00:00",10,2,7.36,8,1,395,0.64
10,"2024-01-07 00:00:00",0,4,2.76,3,1,395,0.24
174,"2024-01-07 00:00:00",0,4,13.8,15,1,395,1.2
163,"2024-01-07 00:00:00",5,1,18.4,20,2,395,1.6
398,"2024-01-08 00:00:00",5,0,0.92,1,5,395,0.08
95,"2024-01-08 00:00:00",15,5,23,25,4,395,2
403,"2024-01-08 00:00:00",0,3,4.6,5,2,395,0.4
162,"2024-01-09 00:00:00",15,0,13.8,15,1,395,1.2
127,"2024-01-09 00:00:00",0,3,16.56,18,2,395,1.44
296,"2024-01-09 00:00:00",30,0,73.6,80,1,395,6.4
446,"2024-01-09 00:00:00",60,10,13.8,15,1,395,1.2
488,"2024-01-09 00:00:00",5,0,10.488,11.4,5,395,0.912
584,"2024-01-09 00:00:00",5,0,5.52,6,11,395,0.48
401,"2024-01-09 00:00:00",0,2,3.68,4,5,395,0.32
